,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
27,PE,PE 34:2|PE 16:0_18:2,0.00537889885864828,0.0594741283052898,#4363d8
28,PE O-,PE O-35:2|PE O-17:1_18:1,0.117795378391921,0.079836635320639,#e6beff
29,PE,PE 34:1|PE 16:0_18:1,-0.0903771364906554,0.0453135600264538,#4363d8
30,PE,PE 34:0|PE 16:0_18:0,-0.360333190350232,-0.148122178861662,#4363d8
31,SM,SM 32:1;O2,0.0771852635194143,0.0636017412965231,green
32,PG,PG 32:0|PG 16:0_16:0,-0.0491296558651051,0.0400190482467835,#42d4f4
33,PE O-,PE O-36:5|PE O-16:1_20:4,-0.037477792959649,0.0313057056799515,#e6beff
34,PE O-,PE O-36:4|PE O-16:0_20:4,-0.261012366062577,-0.230550591808431,#e6beff
35,PE O-,PE O-36:3|PE O-18:2_18:1,-0.0167064372059436,-0.197074503025704,#e6beff
36,PE O-,PE O-36:2|PE O-18:1_18:1,-0.0721189211853215,-0.03773461315728,#e6beff
38,PE,PE 35:1|PE 17:0_18:1,-0.116112864668072,0.0179722396481949,#4363d8
39,PE,PE 36:6|PE 14:0_22:6,-0.205939503735554,0.0766196314031298,#4363d8
40,PE,PE 36:5|PE 16:1_20:4,-0.0879387870317956,0.0515552701051796,#4363d8
41,PE O-,PE O-37:5|PE O-17:1_20:4,-0.0805533634915321,0.0192363117487346,#e6beff
42,PE,PE 36:4|PE 16:0_20:4,-0.00859581014927713,0.102723880542495,#4363d8
43,PE,PE 36:3|PE 18:1_18:2,-0.119472383426736,0.0978875661885645,#4363d8
44,PE,PE 36:2|PE 18:1_18:1,0.116680415654553,-0.202142533814868,#4363d8
45,PE,PE 36:2|PE 18:1_18:1,-0.083385839948054,0.0561471025946858,#4363d8
46,PE O-,PE O-37:2|PE O-17:1_20:1,0.191219352551119,0.0275383622844885,#e6beff
47,PE,PE 36:1|PE 18:0_18:1,0.349533824776508,-0.0169475140616164,#4363d8
48,PE,PE 36:1|PE 18:0_18:1,-0.0552096341546289,0.0082291528793661,#4363d8
49,PG,PG 34:2|PG 16:0_18:2,0.0150517151975684,-0.193745596194109,#42d4f4
50,PG,PG 34:2|PG 16:1_18:1,0.374704553514103,0.328870382666331,#42d4f4
51,SM,SM 34:2;O2,-0.0192936851266516,0.066204918427843,green
52,PE O-,PE O-38:7|PE O-16:1_22:6,-0.118334617741056,-0.00400669797597786,#e6beff
53,PE O-,PE O-38:7|PE O-18:3_20:4,-0.0908697979796074,-0.0485984211510413,#e6beff
54,PE,PE 35:1;O|PE 18:0_17:1;O,-0.143209657934523,-0.474976667382709,#4363d8
55,PG,PG 34:1|PG 16:0_18:1,0.299322182938518,0.212945626007357,#42d4f4
56,PG,PG 34:1|PG 16:0_18:1,-0.0553543569880368,0.0609101010697124,#42d4f4
57,SM,SM 34:1;O2,-0.00547647169105403,-0.0217187993916461,green
58,PE,PE 37:6|PE 15:0_22:6,-0.0890631158451605,-0.0146753024420079,#4363d8
59,PE O-,PE O-38:6|PE O-18:2_20:4,0.120298941335477,0.176007129452458,#e6beff
60,PE O-,PE O-38:6|PE O-18:2_20:4,-0.227251462630171,0.286820415382564,#e6beff
61,PC,PC 30:0|PC 14:0_16:0,-0.0666295857642716,-0.0390329650969363,#f032e6
62,PE O-,PE O-38:5|PE O-16:1_22:4,-0.0765331867243368,0.0149313475265664,#e6beff
63,PE O-,PE O-38:5|PE O-18:1_20:4,-0.288596084331072,-0.252765124262432,#e6beff
64,PE O-,PE O-38:5|PE O-18:1_20:4,-0.143029872627711,-0.00549755484766479,#e6beff
65,PE,PE 37:4|PE 17:0_20:4,-0.089867550364346,0.062403586414618,#4363d8
66,PE O-,PE O-38:4|PE O-16:0_22:4,-0.178874383670479,-0.133180175142769,#e6beff
67,PE O-,PE O-38:3|PE O-18:2_20:1,0.560827718282837,0.326088760720285,#e6beff
68,PE O-,PE O-38:2|PE O-18:1_20:1,0.17594816657445,-0.0671830849444603,#e6beff
69,PE,PE 38:7|PE 16:1_22:6,-0.0939104812045315,0.0223313566323782,#4363d8
70,PE O-,PE O-39:7|PE O-17:1_22:6,-0.21715268443549,0.0866825329517447,#e6beff
71,PE,PE 38:6|PE 16:0_22:6,-0.115899034058597,0.0619533546773638,#4363d8
72,PE,PE 38:6|PE 18:2_20:4,-0.144426148030075,-0.082037635881008,#4363d8
73,PE O-,PE O-39:6|PE O-17:1_22:5,0.101494604216811,0.225520171450032,#e6beff
74,PC O-,PC O-32:1|PC O-16:1_16:0,-0.0475258784000587,-0.0397131970619498,#bfef45
75,PE,PE 38:5|PE 16:0_22:5,0.13706148908302,0.269089855236242,#4363d8
76,PE,PE 38:5|PE 18:1_20:4,0.00320429250183096,0.10842790247748,#4363d8
77,PC,PC 31:0|PC 15:0_16:0,-0.0778448942501981,-0.0400632402820058,#f032e6
